# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CLUG_01251	CLUG_01251	CLUT_01251T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01252	CLUG_01252	CLUT_01252T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01253	CLUG_01253	CLUT_01253T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CLUG_01254	CLUG_01254	CLUT_01254T0	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
CLUG_01255	CLUG_01255	CLUT_01255T0	protein_coding	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2
CLUG_01256	CLUG_01256	CLUT_01256T0	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
CLUG_01257	CLUG_01257	CLUT_01257T0	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
CLUG_01258	CLUG_01258	CLUT_01258T0	protein_coding	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
CLUG_01259	CLUG_01259	CLUT_01259T0	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
CLUG_01260	CLUG_01260	CLUT_01260T0	protein_coding	0	0	1	4	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1
CLUG_01261	CLUG_01261	CLUT_01261T0	protein_coding	1	0	2	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0
CLUG_01262	CLUG_01262	CLUT_01262T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CLUG_01263	CLUG_01263	CLUT_01263T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01264	CLUG_01264	CLUT_01264T0	protein_coding	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_01265	CLUG_01265	CLUT_01265T0	protein_coding	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01266	CLUG_01266	CLUT_01266T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01267	CLUG_01267	CLUT_01267T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01268	CLUG_01268	CLUT_01268T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01274	CLUG_01274	CLUT_01274T0	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
CLUG_01275	CLUG_01275	CLUT_01275T0	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CLUG_01276	CLUG_01276	CLUT_01276T0	protein_coding	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11
CLUG_01277	CLUG_01277	CLUT_01277T0	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CLUG_01278	CLUG_01278	CLUT_01278T0	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CLUG_01279	CLUG_01279	CLUT_01279T0	protein_coding	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11
CLUG_01280	CLUG_01280	CLUT_01280T0	protein_coding	0	0	0	13	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2
CLUG_01281	CLUG_01281	CLUT_01281T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01282	CLUG_01282	CLUT_01282T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01283	CLUG_01283	CLUT_01283T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_01284	CLUG_01284	CLUT_01284T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01285	CLUG_01285	CLUT_01285T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01286	CLUG_01286	CLUT_01286T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01287	CLUG_01287	CLUT_01287T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_01288	CLUG_01288	CLUT_01288T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01289	CLUG_01289	CLUT_01289T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01290	CLUG_01290	CLUT_01290T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01291	CLUG_01291	CLUT_01291T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01292	CLUG_01292	CLUT_01292T0	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
CLUG_01293	CLUG_01293	CLUT_01293T0	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CLUG_01294	CLUG_01294	CLUT_01294T0	protein_coding	1	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12
CLUG_01295	CLUG_01295	CLUT_01295T0	protein_coding	2	0	0	15	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	6
CLUG_01296	CLUG_01296	CLUT_01296T0	protein_coding	1	0	0	16	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	5
CLUG_01297	CLUG_01297	CLUT_01297T0	protein_coding	0	0	0	25	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	12
CLUG_01298	CLUG_01298	CLUT_01298T0	protein_coding	0	0	0	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6
CLUG_01299	CLUG_01299	CLUT_01299T0	protein_coding	0	0	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8
CLUG_01300	CLUG_01300	CLUT_01300T0	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
CLUG_01301	CLUG_01301	CLUT_01301T0	protein_coding	0	0	0	9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1
CLUG_01302	CLUG_01302	CLUT_01302T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01303	CLUG_01303	CLUT_01303T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01304	CLUG_01304	CLUT_01304T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01305	CLUG_01305	CLUT_01305T0	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CLUG_01306	CLUG_01306	CLUT_01306T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01307	CLUG_01307	CLUT_01307T0	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
CLUG_01308	CLUG_01308	CLUT_01308T0	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
CLUG_01309	CLUG_01309	CLUT_01309T0	protein_coding	1	0	2	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0
CLUG_01310	CLUG_01310	CLUT_01310T0	protein_coding	0	0	1	3	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
CLUG_01311	CLUG_01311	CLUT_01311T0	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
CLUG_01312	CLUG_01312	CLUT_01312T0	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
CLUG_01313	CLUG_01313	CLUT_01313T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01316	CLUG_01316	CLUT_01316T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01317	CLUG_01317	CLUT_01317T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01318	CLUG_01318	CLUT_01318T0	protein_coding	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CLUG_01319	CLUG_01319	CLUT_01319T0	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CLUG_01321	CLUG_01321	CLUT_01321T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01322	CLUG_01322	CLUT_01322T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01323	CLUG_01323	CLUT_01323T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01324	CLUG_01324	CLUT_01324T0	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLUG_01325	CLUG_01325	CLUT_01325T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01326	CLUG_01326	CLUT_01326T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01327	CLUG_01327	CLUT_01327T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01328	CLUG_01328	CLUT_01328T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01330	CLUG_01330	CLUT_01330T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01331	CLUG_01331	CLUT_01331T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01332	CLUG_01332	CLUT_01332T0	protein_coding	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CLUG_01333	CLUG_01333	CLUT_01333T0	protein_coding	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2
CLUG_01334	CLUG_01334	CLUT_01334T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01335	CLUG_01335	CLUT_01335T0	protein_coding	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_01336	CLUG_01336	CLUT_01336T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01337	CLUG_01337	CLUT_01337T0	protein_coding	0	0	0	19	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2
CLUG_01338	CLUG_01338	CLUT_01338T0	protein_coding	14	1	1	1	0	0	0	0	0	14	0	0	1	0	0	0	0	0	1	1
CLUG_01339	CLUG_01339	CLUT_01339T0	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
CLUG_01341	CLUG_01341	CLUT_01341T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01342	CLUG_01342	CLUT_01342T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01343	CLUG_01343	CLUT_01343T0	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
CLUG_01344	CLUG_01344	CLUT_01344T0	protein_coding	1	0	1	4	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0
CLUG_01345	CLUG_01345	CLUT_01345T0	protein_coding	1	0	0	6	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4
CLUG_01346	CLUG_01346	CLUT_01346T0	protein_coding	0	1	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2
CLUG_01347	CLUG_01347	CLUT_01347T0	protein_coding	0	0	1	6	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	4
CLUG_01348	CLUG_01348	CLUT_01348T0	protein_coding	0	1	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1
CLUG_01349	CLUG_01349	CLUT_01349T0	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
CLUG_01350	CLUG_01350	CLUT_01350T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01351	CLUG_01351	CLUT_01351T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01352	CLUG_01352	CLUT_01352T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01353	CLUG_01353	CLUT_01353T0	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
CLUG_01354	CLUG_01354	CLUT_01354T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01355	CLUG_01355	CLUT_01355T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01356	CLUG_01356	CLUT_01356T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01357	CLUG_01357	CLUT_01357T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CLUG_01358	CLUG_01358	CLUT_01358T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01359	CLUG_01359	CLUT_01359T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CLUG_01360	CLUG_01360	CLUT_01360T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01361	CLUG_01361	CLUT_01361T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01362	CLUG_01362	CLUT_01362T0	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
CLUG_01363	CLUG_01363	CLUT_01363T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01364	CLUG_01364	CLUT_01364T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01365	CLUG_01365	CLUT_01365T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01366	CLUG_01366	CLUT_01366T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01367	CLUG_01367	CLUT_01367T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01368	CLUG_01368	CLUT_01368T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01371	CLUG_01371	CLUT_01371T0	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CLUG_01372	CLUG_01372	CLUT_01372T0	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CLUG_01373	CLUG_01373	CLUT_01373T0	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CLUG_01374	CLUG_01374	CLUT_01374T0	protein_coding	1	0	0	8	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	2
CLUG_01375	CLUG_01375	CLUT_01375T0	protein_coding	0	0	0	12	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2
CLUG_01376	CLUG_01376	CLUT_01376T0	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1
CLUG_01377	CLUG_01377	CLUT_01377T0	protein_coding	1	0	0	10	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	9
CLUG_01378	CLUG_01378	CLUT_01378T0	protein_coding	1	0	0	10	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	9
CLUG_01379	CLUG_01379	CLUT_01379T0	protein_coding	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9
CLUG_01380	CLUG_01380	CLUT_01380T0	protein_coding	2	0	0	8	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	7
CLUG_01381	CLUG_01381	CLUT_01381T0	protein_coding	3	0	0	7	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0
CLUG_01382	CLUG_01382	CLUT_01382T0	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CLUG_01385	CLUG_01385	CLUT_01385T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01386	CLUG_01386	CLUT_01386T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01387	CLUG_01387	CLUT_01387T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_01388	CLUG_01388	CLUT_01388T0	protein_coding	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_01389	CLUG_01389	CLUT_01389T0	protein_coding	2	0	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	6
CLUG_01390	CLUG_01390	CLUT_01390T0	protein_coding	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2
CLUG_01391	CLUG_01391	CLUT_01391T0	protein_coding	1	0	0	8	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	6
CLUG_01392	CLUG_01392	CLUT_01392T0	protein_coding	1	3	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	2
CLUG_01393	CLUG_01393	CLUT_01393T0	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CLUG_01394	CLUG_01394	CLUT_01394T0	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CLUG_01397	CLUG_01397	CLUT_01397T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01398	CLUG_01398	CLUT_01398T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01399	CLUG_01399	CLUT_01399T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CLUG_01400	CLUG_01400	CLUT_01400T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01401	CLUG_01401	CLUT_01401T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01402	CLUG_01402	CLUT_01402T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01403	CLUG_01403	CLUT_01403T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01404	CLUG_01404	CLUT_01404T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01408	CLUG_01408	CLUT_01408T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01409	CLUG_01409	CLUT_01409T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01410	CLUG_01410	CLUT_01410T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01411	CLUG_01411	CLUT_01411T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01412	CLUG_01412	CLUT_01412T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01417	CLUG_01417	CLUT_01417T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01418	CLUG_01418	CLUT_01418T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01419	CLUG_01419	CLUT_01419T0	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLUG_01420	CLUG_01420	CLUT_01420T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01421	CLUG_01421	CLUT_01421T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01422	CLUG_01422	CLUT_01422T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_01423	CLUG_01423	CLUT_01423T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01424	CLUG_01424	CLUT_01424T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01425	CLUG_01425	CLUT_01425T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CLUG_01426	CLUG_01426	CLUT_01426T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01427	CLUG_01427	CLUT_01427T0	protein_coding	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
CLUG_01428	CLUG_01428	CLUT_01428T0	protein_coding	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_01429	CLUG_01429	CLUT_01429T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01430	CLUG_01430	CLUT_01430T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_01431	CLUG_01431	CLUT_01431T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
CLUG_01432	CLUG_01432	CLUT_01432T0	protein_coding	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
CLUG_01433	CLUG_01433	CLUT_01433T0	protein_coding	0	2	1	49	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	48
CLUG_01434	CLUG_01434	CLUT_01434T0	protein_coding	0	9	4	83	0	0	0	0	43	0	0	0	4	0	0	0	0	0	9	40
CLUG_01435	CLUG_01435	CLUT_01435T0	protein_coding	6	22	11	16	0	2	2	0	15	6	0	0	7	0	0	0	0	0	22	1
CLUG_01436	CLUG_01436	CLUT_01436T0	protein_coding	0	0	0	43	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
CLUG_01437	CLUG_01437	CLUT_01437T0	protein_coding	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
CLUG_01438	CLUG_01438	CLUT_01438T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_01439	CLUG_01439	CLUT_01439T0	protein_coding	0	1	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	1
CLUG_01440	CLUG_01440	CLUT_01440T0	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
CLUG_01441	CLUG_01441	CLUT_01441T0	protein_coding	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8
CLUG_01442	CLUG_01442	CLUT_01442T0	protein_coding	0	0	4	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4
CLUG_01443	CLUG_01443	CLUT_01443T0	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
CLUG_01444	CLUG_01444	CLUT_01444T0	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
CLUG_01445	CLUG_01445	CLUT_01445T0	protein_coding	0	0	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12
CLUG_01446	CLUG_01446	CLUT_01446T0	protein_coding	0	0	0	51	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	4
CLUG_01447	CLUG_01447	CLUT_01447T0	protein_coding	0	2	2	44	0	0	0	0	44	0	0	0	2	0	0	0	0	0	2	0
CLUG_01448	CLUG_01448	CLUT_01448T0	protein_coding	0	1	0	51	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	47
CLUG_01449	CLUG_01449	CLUT_01449T0	protein_coding	0	2	1	55	0	0	0	0	11	0	0	0	1	0	0	0	0	0	2	44
CLUG_01450	CLUG_01450	CLUT_01450T0	protein_coding	0	3	1	61	0	0	0	0	47	0	0	0	1	0	0	0	0	0	3	14
CLUG_01451	CLUG_01451	CLUT_01451T0	protein_coding	0	2	1	64	0	0	0	0	42	0	0	0	1	0	0	0	0	0	2	22
CLUG_01452	CLUG_01452	CLUT_01452T0	protein_coding	0	10	5	39	0	0	0	0	15	0	0	0	5	0	0	0	0	0	10	24
CLUG_01453	CLUG_01453	CLUT_01453T0	protein_coding	0	4	0	45	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4	24
CLUG_01454	CLUG_01454	CLUT_01454T0	protein_coding	0	4	0	48	0	0	0	0	24	0	0	0	0	0	0	0	0	0	4	24
CLUG_01455	CLUG_01455	CLUT_01455T0	protein_coding	0	1	0	56	0	0	0	0	30	0	0	0	0	0	0	0	0	0	1	26
CLUG_01456	CLUG_01456	CLUT_01456T0	protein_coding	0	4	0	57	0	0	0	0	26	0	0	0	0	0	0	0	0	0	4	31
CLUG_01457	CLUG_01457	CLUT_01457T0	protein_coding	0	0	4	55	0	0	0	0	31	0	0	0	4	0	0	0	0	0	0	24
CLUG_01458	CLUG_01458	CLUT_01458T0	protein_coding	0	3	0	69	0	0	0	0	22	0	0	0	0	0	0	0	0	0	3	47
CLUG_01459	CLUG_01459	CLUT_01459T0	protein_coding	0	10	2	59	0	0	0	0	27	0	0	0	2	0	0	0	0	0	10	32
CLUG_01460	CLUG_01460	CLUT_01460T0	protein_coding	0	2	1	59	0	0	0	0	29	0	0	0	1	0	0	0	0	0	2	30
CLUG_01461	CLUG_01461	CLUT_01461T0	protein_coding	0	3	0	57	0	0	0	0	15	0	0	0	0	0	0	0	0	0	3	42
CLUG_01462	CLUG_01462	CLUT_01462T0	protein_coding	0	9	0	45	0	0	0	0	16	0	0	0	0	0	0	0	0	0	9	29
